Test_ID,Question_Number,Question_Text,NotebookLM_Response_Time_Seconds,NotebookLM_Answer_Quality_1_10,NotebookLM_Answer_Summary,NotebookLM_Cites_Papers,RM_Response_Time_Seconds,RM_Mode,RM_Judge_Score,RM_Answer_Quality_1_10,Winner,Notes
known_001,1,How much does LoRA reduce the number of trainable parameters compared to full fine-tuning?,,,,,8.57,librarian,6,6,Baseline (tie with NotebookLLM?),
known_002,2,How much does LoRA reduce GPU memory requirements compared to full fine-tuning?,,,,,8.03,librarian,9,9,RM,
known_003,3,What specific technique does LoRA use to reduce the number of trainable parameters?,,,,,5.91,librarian,2,2,Baseline (tie with NotebookLLM?),
known_004,4,What models was LoRA evaluated on in the original paper?,,,,,18.82,research_mentor,6,6,Baseline (tie with NotebookLLM?),
known_005,5,What is the typical size of a LoRA checkpoint for GPT-3 175B compared to a full fine-tuned checkpoint?,,,,,19.26,research_mentor,9,9,RM,
known_006,6,What GPU can QLoRA use to fine-tune a 65B parameter model on?,,,,,3.44,librarian,9,9,RM,
known_007,7,What percentage of ChatGPT's performance does Guanaco achieve on the Vicuna benchmark?,,,,,2.86,librarian,9,9,RM,
known_008,8,What are the three key innovations introduced in QLoRA?,,,,,17.68,research_mentor,3,3,Baseline (tie with NotebookLLM?),
known_009,9,How much GPU memory is required for 16-bit full fine-tuning of LLaMA 65B?,,,,,23.94,research_mentor,4,4,Baseline (tie with NotebookLLM?),
known_010,10,How much memory does LLM.int8() save compared to 16-bit inference?,,,,,23.24,research_mentor,6,6,Baseline (tie with NotebookLLM?),
known_011,11,What percentage of values does LLM.int8() keep in 8-bit precision?,,,,,18.46,research_mentor,9,9,RM,
known_012,12,What technique does LLM.int8() use to handle outlier features?,,,,,10.93,librarian,9,9,RM,
known_013,13,What is the target bit precision that GPTQ typically uses for quantization?,,,,,6.41,librarian,9,9,RM,
known_014,14,On which model family was GPTQ primarily evaluated in the original paper?,,,,,2.68,librarian,9,9,RM,
known_015,15,What specific mathematical technique does GPTQ use for quantization?,,,,,4.14,librarian,9,9,RM,
known_016,16,What are the two types of memory that RAG combines?,,,,,18.45,research_mentor,9,9,RM,
known_017,17,What benchmark tasks was RAG evaluated on?,,,,,6.01,librarian,9,9,RM,
known_018,18,What retrieval mechanism does RAG use?,,,,,5.95,librarian,9,9,RM,
known_019,19,What model size showed the most significant improvement from chain-of-thought prompting?,,,,,3.43,librarian,9,9,RM,
known_020,20,What type of reasoning tasks benefit most from chain-of-thought prompting?,,,,,8.43,librarian,7,7,Baseline (tie with NotebookLLM?),
known_021,21,How many exemplars were typically used in the chain-of-thought prompts for PaLM 540B?,,,,,20.09,research_mentor,10,10,RM,
known_022,22,What benchmark showed the largest improvement with chain-of-thought prompting?,,,,,9.29,librarian,9,9,RM,
known_023,23,What percentage of parameters does prefix-tuning modify compared to full fine-tuning?,,,,,25.57,research_mentor,9,9,RM,
known_024,24,What specific component of the transformer does prefix-tuning modify?,,,,,6.07,librarian,6,6,Baseline (tie with NotebookLLM?),
known_025,25,What tasks was prefix-tuning evaluated on in the original paper?,,,,,19.06,research_mentor,9,9,RM,
known_026,26,What is the dimension of the model (d_model) in the base Transformer architecture?,,,,,3.27,librarian,9,9,RM,
known_027,27,How many attention heads does the base Transformer model use?,,,,,2.73,librarian,9,9,RM,
known_028,28,What positional encoding mechanism does the original Transformer use?,,,,,14.20,research_mentor,3,3,Baseline (tie with NotebookLLM?),
known_029,29,"According to the LLM Evaluation Survey, what are the main categories of evaluation benchmarks?",,,,,3.80,librarian,2,2,Baseline (tie with NotebookLLM?),
known_030,30,"According to the Efficient LLMs Survey, what are the main approaches to making LLMs more efficient?",,,,,5.08,librarian,9,9,RM,
